geographic_area,all_education_levels,less_than_high_school_graduate,high_school_graduate_includes_equivalency,some_college_or_associate_degree,bachelor_degree,graduate_or_professional_degree
United States,39937,22609,30570,36293,53825,72095
Ohio,38303,21907,30708,35125,52656,67468
"Adams County, Ohio",30482,22702,25985,30614,43839,66932
"Allen County, Ohio",33644,19720,30682,33735,42031,60072
"Ashland County, Ohio",34167,27298,31020,33699,44200,55774
"Ashtabula County, Ohio",31790,22025,29273,33387,41505,55150
"Athens County, Ohio",32693,18468,29036,28367,37676,54481
"Auglaize County, Ohio",41211,29988,37476,38721,53197,63323
"Belmont County, Ohio",31022,15283,25650,31885,41725,54110
"Brown County, Ohio",38987,34018,34799,37185,60429,56600
"Butler County, Ohio",41391,23283,31782,39479,58171,73434
"Carroll County, Ohio",35196,30344,31453,33798,50634,55164
"Champaign County, Ohio",36956,21071,34516,35673,50883,58893
"Clark County, Ohio",33574,20095,30557,32629,45662,66383
"Clermont County, Ohio",41377,26185,33267,38874,55473,72296
"Clinton County, Ohio",36656,21450,33005,35990,47281,72171
"Columbiana County, Ohio",31581,22395,30176,30499,42312,54476
"Coshocton County, Ohio",30635,25984,28188,30033,41800,60486
"Crawford County, Ohio",32155,24507,28794,31672,41250,51801
"Cuyahoga County, Ohio",38078,20459,28342,33334,51804,69450
"Darke County, Ohio",34729,25420,32420,32341,45688,63049
"Defiance County, Ohio",36883,28808,32841,36475,43833,63229
"Delaware County, Ohio",61087,27988,34368,45173,74116,90394
"Erie County, Ohio",36104,16938,30158,35725,46796,64322
"Fairfield County, Ohio",42355,22858,35147,36966,59252,68759
"Fayette County, Ohio",34511,21793,31029,37950,41875,54980
"Franklin County, Ohio",40276,20870,29854,34605,52962,68577
"Fulton County, Ohio",36613,23769,32861,35491,49018,63704
"Gallia County, Ohio",31687,17707,28916,31240,47632,63157
"Geauga County, Ohio",48284,33456,37184,42168,63850,78976
"Greene County, Ohio",45287,19583,31529,36865,54385,79543
"Guernsey County, Ohio",33147,25063,29710,33226,43134,53260
"Hamilton County, Ohio",40412,20336,30271,35041,53306,68386
"Hancock County, Ohio",37186,23482,31783,35452,49973,62500
"Hardin County, Ohio",36286,26750,32414,35330,41429,57973
"Harrison County, Ohio",32260,27129,30139,32742,46576,55764
"Henry County, Ohio",36849,27885,32282,38258,47650,53882
"Highland County, Ohio",31572,20694,28906,31798,50339,62285
"Hocking County, Ohio",34040,18796,32701,32833,40548,58241
"Holmes County, Ohio",33510,36475,30862,28311,43286,57422
"Huron County, Ohio",32617,20043,31231,36201,42000,60224
"Jackson County, Ohio",32417,19405,27923,34521,43152,53472
"Jefferson County, Ohio",32912,19590,29103,33784,42961,52543
"Knox County, Ohio",36063,19464,31931,36603,50275,53542
"Lake County, Ohio",41632,26450,32873,38829,54335,72273
"Lawrence County, Ohio",32404,25027,27343,32457,49727,52833
"Licking County, Ohio",40636,21476,31103,38342,56475,64111
"Logan County, Ohio",37157,24306,35565,36598,46974,55342
"Lorain County, Ohio",38575,22973,31047,35240,57642,70996
"Lucas County, Ohio",35960,19502,29827,32241,49529,63081
"Madison County, Ohio",39668,25494,33473,40493,58594,63785
"Mahoning County, Ohio",32416,17211,26718,30467,45390,58806
"Marion County, Ohio",32973,17404,30868,35331,43734,56429
"Medina County, Ohio",45313,27936,34943,40920,59743,73634
"Meigs County, Ohio",31905,21543,27418,33768,46989,55375
"Mercer County, Ohio",37162,21086,35272,35823,48817,57440
"Miami County, Ohio",39397,22331,32035,36055,56075,70327
"Monroe County, Ohio",28634,15179,26007,30362,45714,46813
"Montgomery County, Ohio",36408,20388,27782,32905,50256,67025
"Morgan County, Ohio",30441,21853,25233,32343,32123,50163
"Morrow County, Ohio",36974,26902,35400,37779,47145,58462
"Muskingum County, Ohio",32338,24144,30142,31507,45587,59281
"Noble County, Ohio",22624,8016,25735,31921,30588,35938
"Ottawa County, Ohio",37272,23889,30984,38403,47601,61004
"Paulding County, Ohio",35392,20057,32307,34152,44847,55114
"Perry County, Ohio",34013,16667,30371,36594,45642,58285
"Pickaway County, Ohio",40244,20620,34328,41808,56506,64429
"Pike County, Ohio",34192,23278,28866,32103,51136,59046
"Portage County, Ohio",38869,25621,32019,35982,52156,64190
"Preble County, Ohio",36867,21961,32313,37154,46571,55139
"Putnam County, Ohio",40816,28346,34091,40499,57959,57011
"Richland County, Ohio",32764,23704,28552,32266,43820,60837
"Ross County, Ohio",35381,20714,31208,35269,48590,62375
"Sandusky County, Ohio",36399,20691,31307,37212,49406,56703
"Scioto County, Ohio",35166,19146,30000,34836,45549,58750
"Seneca County, Ohio",33905,20972,31560,33457,41924,56804
"Shelby County, Ohio",40148,26938,34627,40042,54009,60476
"Stark County, Ohio",35533,21130,29122,33698,51718,63986
"Summit County, Ohio",39203,20589,30801,34130,52442,71953
"Trumbull County, Ohio",33778,23144,28341,32261,45784,58973
"Tuscarawas County, Ohio",34207,27301,30451,34819,47725,57670
"Union County, Ohio",48529,23847,34942,40819,69502,71916
"Van Wert County, Ohio",35223,22988,31843,35550,43165,58400
"Vinton County, Ohio",30010,21466,28884,32500,43634,42381
"Warren County, Ohio",52871,25131,36105,42030,67812,82748
"Washington County, Ohio",33172,20360,28806,33178,44101,57596
"Wayne County, Ohio",35562,30834,31307,32990,47109,57662
"Williams County, Ohio",33766,17564,31761,33753,43571,57703
"Wood County, Ohio",41395,23040,31381,36337,53914,64106
"Wyandot County, Ohio",37429,30893,32072,38884,50886,57910
